model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
Swin Transformer (tuned),swin_tiny_patch4_window7_224,1,0.5136955666438466,0.7320535038687789,0.7276481747104572,0.6930100535537005,0.7622862958672139,0.765510492551919,0.7590891447794023,219.4,0.5055494947092873,0.7382749326145552,0.7382743574079897,0.7378863544337967,0.7386623603821828,0.8164509891417522,0.6744071753286645
Swin Transformer (tuned),swin_tiny_patch4_window7_224,2,0.47241224700660434,0.7630403475798775,0.7581169635129255,0.7236077895456099,0.7926261374802409,0.8069152984668914,0.7788342463740738,214.7,0.48018056581605156,0.7547169811320755,0.7535755261615242,0.7703470031545742,0.7368040491684743,0.7578461996132679,0.7168988321373294
Swin Transformer (tuned),swin_tiny_patch4_window7_224,3,0.4554543911598918,0.7753667407063878,0.7709342613298253,0.7390700311879784,0.8027984914716723,0.8147221920191366,0.7912187704589132,212.4,0.5039597216642128,0.7522911051212938,0.7522864978707984,0.7533548040794418,0.7512181916621549,0.8255243195002231,0.6891841549733019
Swin Transformer (tuned),swin_tiny_patch4_window7_224,4,0.4396428079458335,0.7848983377675803,0.7809454035692618,0.7515190819246874,0.8103717252138362,0.8189627052299663,0.8019591141396933,245.5,0.565722971399518,0.7202830188679246,0.7179593237967372,0.6923590009634626,0.7435596466300117,0.895136099955377,0.635883347421809
Swin Transformer (tuned),swin_tiny_patch4_window7_224,5,0.42948014590062755,0.7910005125826844,0.787441201965779,0.7599355155253382,0.81494688840622,0.8200065238664782,0.8099493083598247,252.6,0.5066816098285172,0.7496630727762803,0.7496290469761324,0.7525477919136748,0.74671030203859,0.8145173285735535,0.68932527693857
Swin Transformer (tuned),swin_tiny_patch4_window7_224,6,0.4222407813516697,0.7974444091874344,0.7939563454467884,0.7671478878179497,0.8207648030756272,0.8263781667935196,0.8152271849658901,244.0,0.5574689534314559,0.7047843665768194,0.702978913530574,0.679821676532924,0.726136150528224,0.8639000446229362,0.6262669829631227
Swin Transformer (tuned),swin_tiny_patch4_window7_224,7,0.4149276049189665,0.8024115794869291,0.7989954020427064,0.7727910632087123,0.8251997408767004,0.8310318582146352,0.8194489117615524,235.2,0.5966598894878861,0.7055929919137466,0.7040860742558656,0.6829693055656338,0.7252028429460973,0.8575040904358173,0.6282693984306887
Swin Transformer (tuned),swin_tiny_patch4_window7_224,8,0.4084631385416576,0.8057311625863458,0.8023889902309359,0.7766897674027103,0.8280882130591615,0.833706643470697,0.822545002038233,239.4,0.6062605874236382,0.7222371967654987,0.7214113140166911,0.7062428734321551,0.736579754601227,0.857206604194556,0.6457142857142857
Swin Transformer (tuned),swin_tiny_patch4_window7_224,9,0.3993153150955314,0.8102345675998927,0.8070435997378524,0.7822299407571323,0.8318572587185726,0.8364249211699467,0.8273392127339213,239.6,0.6457834930513104,0.7319407008086254,0.7315334348779514,0.7210769877997476,0.7419898819561551,0.8508106500074372,0.6578493387004025
