model,timm_name,variant,lr,best_epoch,epochs_run,val_macro_f1,val_accuracy,val_recall_com_garimpo,val_f1_com_garimpo,val_f1_sem_garimpo,checkpoint
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,v2_bloques_tuned,3e-05,8,15,0.824,0.8242,0.8381,0.8298,0.8182,C:\Users\luisg\OneDrive\Documentos\Universidad\7MO\IA\peru-illegal-mining-risk-prediction-model\data\06_models\v2_bloques_tuned\vit_tiny_patch16_224_best.pt
Swin Transformer (v2 bloques tuned),swin_tiny_patch4_window7_224,v2_bloques_tuned,3e-05,2,9,0.8185,0.8199,0.8883,0.8345,0.8024,C:\Users\luisg\OneDrive\Documentos\Universidad\7MO\IA\peru-illegal-mining-risk-prediction-model\data\06_models\v2_bloques_tuned\swin_tiny_patch4_window7_224_best.pt
ResNet-50 (v2 bloques tuned),resnet50,v2_bloques_tuned,0.0001,9,16,0.8181,0.8183,0.8293,0.8235,0.8127,C:\Users\luisg\OneDrive\Documentos\Universidad\7MO\IA\peru-illegal-mining-risk-prediction-model\data\06_models\v2_bloques_tuned\resnet50_best.pt
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,v2_bloques_tuned,0.0001,5,12,0.8141,0.8143,0.7607,0.8073,0.8208,C:\Users\luisg\OneDrive\Documentos\Universidad\7MO\IA\peru-illegal-mining-risk-prediction-model\data\06_models\v2_bloques_tuned\efficientnet_b0_best.pt
